sku,COGS
110-239 CORONA,4.4
115-004 GLOBO,7.110769230769231
115-051 LIBELULA,7.2
115-106 MUERDAGO,7.0
115-119 CRUZ,6.882666666666667
115-150 LAZO,7.146666666666667
115-155 CARRO,6.800000000000001
115-174 ANGEL,6.977777777777778
115-182 ARBOL,6.731034482758621
115-260 VENADO,7.08
115-279 CORONA,7.2
120-106 MUERDAGO,10.066666666666668
120-228 ANGEL,10.111304347826087
120-256 MARIPOSA,10.276923076923078
120-260 VENADO,9.96923076923077
120-320 BIGOTE,10.296666666666667
120-329 RAMITA,10.245000000000001
120-517 VESTIDO,10.4
130-023 CORAZON,15.911111111111111
130-175 MUERDAGO,15.824000000000002
130-256 MARIPOSA,15.942028985507248
510 PERFORADOR DE REFUERZO,8.503376623376624
5805 CIRCULO,3.974869109947644
5810  LLAVERO CARA FELIZ,7.302439024390245
5810 ARETE,7.856716417910448
5810 COPO,6.591666666666668
5810 CORAZON,6.640579710144928
5810 ESTRELLA,6.550000000000001
5810 MARGARITA X 8,6.5
5815 CIRCULO,10.977142857142859
5815 COLLAR,12.941772151898736
5815 COPO,10.857142857142858
5815 CORAZON,11.064
5815 ESTRELLA,11.05263157894737
5815 FLOR CORTADA,10.981818181818182
5815 MARGARITA X8,11.015384615384617
5815 MARIPOSA,11.097872340425532
5815 ROMPECABEZA,15.584937238493723
5825 CIRCULO,19.8
5825 CORAZON,19.923076923076923
5825 ESTRELLA,19.935483870967744
5825 MARIPOSA,19.95744680851064
605-020 FLOR CHICA,7.917948717948718
605-023 NOTAS MUSICALES,8.0
605-025 ARBOL DELGADO,8.0
605-027 CORAZON,7.914285714285715
605-055 FLORES,7.854545454545455
605-057 MUERDAGO,7.9818181818181815
605-079 ARBOL,7.957894736842106
6615-11 CORAZON,6.7
6615-12,6.533333333333333
6615-22 COPO,6.842105263157895
6615-25 FLOR MARGARITA,6.7586206896551735
688A-8605 MALETA ABC CORRIDA,43.31607142857143
8203 AM CORAZON,3.0
8203 AM ESTRELLA,2.8000000000000003
8203 AM SOL,2.966666666666667
8701A CORAZON,2.395238095238095
8701A HONGO,2.3555555555555556
8701A LAZO,2.3806451612903223
8701A MARIPOSA,2.3636363636363638
8701A REJA,2.383625730994152
8710-1,12.441025641025641
8710-2,12.41818181818182
8710-3,12.446153846153848
8710-4,12.380952380952381
8710-5,12.580000000000002
8710-6,12.693894736842106
8710A-1,13.3332
8710A-2,13.629777777777779
8710A-3,13.803882352941176
8710B-1 RECTO,13.410714285714286
8710B-2 REDONDO,13.771217712177123
8710B-3 BANDERIN,13.707216494845362
8710B-4  ETIQUETA NUEVO,16.0
8710M,13.931034482758623
8712-1 ESTRELLA,29.857142857142858
8712-2 FLOR,29.5
8712-3 REGALO,29.71428571428572
8712-5 CORAZON,29.71428571428572
8721-3,7.255
8721-4,7.386138613861387
8721-5,7.29047619047619
8721-7,7.312359550561798
8721-9,6.928000000000001
8722-A01,12.671111111111113
8722-A02,12.477894736842106
8722-A03,12.564705882352941
8722-B02,12.486274509803922
8722-C01,12.431746031746032
8722-C02,12.616727272727273
8722-C03,12.456
8805 ANGEL,2.2297872340425533
8805 ANGEL CALADO,2.2079999999999997
8805 ARBOL,2.3655172413793104
8805 CAJA REGALO,2.294117647058824
8805 CARRO,2.2303797468354434
8805 CIRCULO,2.495689851767389
8805 COCHE,2.2571428571428576
8805 COPO,2.4295988112927196
8805 CORAZON,2.454879518072289
8805 CORONA,2.283
8805 ESPIRAL,2.3955555555555557
8805 ESTRELLA,2.386476190476191
8805 ESTRELLA CALADA,2.3000000000000003
8805 FLOR 5 ONDAS,2.1894736842105265
8805 FLOR 6 ONDAS,2.3380281690140845
8805 FLOR BONITA,2.4985645933014355
8805 FLOR CALADA,2.2864864864864862
8805 FLOR CORTADA,1.9408983451536643
8805 FLOR ESTRELLA,2.3034532374100722
8805 GLOBO,2.3136
8805 HOJA,2.2895522388059706
8805 HOJA DE PARRA,2.2558823529411764
8805 LAZO,2.476923076923077
8805 MANO,2.5
8805 MARGARITA X8 PETALOS,2.3524064171122996
8805 MARIPOSA  D,2.2651982378854627
8805 MARIPOSA CALADA,2.2192307692307693
8805 MARIPOSA G,2.2333333333333334
8805 MICKEY,2.3000000000000003
8805 NIÑA C/GORRO,2.22
8805 NIÑO C/GORRO,2.2526315789473688
8805 OSO,2.191278195488722
8805 PATO,2.2
8805 PIE,2.32
8805 RAMITA,2.3127071823204424
8805 TREBOL,2.1222222222222222
8805 TRIANGULO,2.47609756097561
8805 TULIPAN,2.238709677419355
8810 2 PIES,3.6367676767676773
8810 ANGEL,3.7908457711442787
8810 ARBOL CON ESTRELLA,3.7579342723004694
8810 BIGOTE,3.670498084291188
8810 BIRRETE,3.573877551020408
8810 CIRCULO,3.764962302947225
8810 COPO,3.7674418604651168
8810 CORAZON,3.66390625
8810 CORONA,3.4716504854368937
8810 CRUZ,3.6589473684210527
8810 ELEFANTE,3.477777777777778
8810 ESTRELLA CALADA,3.6
8810 ESTRELLA D,3.6738170347003156
8810 ESTRELLA FUGAZ,3.6608
8810 ESTRELLA G,3.877404921700224
8810 FLOR 6 ONDAS,3.733333333333334
8810 FLOR BONITA,3.676707021791768
8810 FLOR CORTADA,3.585069637883008
8810 FLOR ESTRELLA X5,3.668056872037915
8810 FLOR ESTRELLA X6,3.54462962962963
8810 FLOR HELICE,3.584516129032258
8810 FLOR X2,3.442857142857143
8810 GLOBO,3.6479758308157098
8810 LAZO,3.7249249249249248
8810 MANO,3.681473087818697
8810 MARGARITA X6 PETALOS,3.6068227424749164
8810 MARGARITA X8 PETALOS,3.5446486486486486
8810 MARIPOSA,4.026666666666666
8810 MARIPOSA CALADA,3.5636363636363635
8810 MEDIO CIRCULO,3.624761904761905
8810 NIÑA,3.4857142857142858
8810 NIÑO,3.4000000000000004
8810 NOTA MUSICAL,3.8666666666666667
8810 OSO,3.615300546448088
8810 OVAL CON BORDE,3.7690140845070426
8810 PALOMA,3.592519083969466
8810 PERRO,3.733333333333334
8810 RAMITA,3.8504000000000005
8810 SOL,3.3818181818181823
8810 TULIPAN,3.452865497076023
8810 TULIPAN CALADO,3.6
8810B-1,5.44468085106383
8810B-16,5.548514851485149
8810B-17,5.53167259786477
8810B-19,5.5758649789029535
8810B-20,5.540625
8810B-21,5.5589380530973465
8810M-11,5.622
8810M-12,5.633333333333334
8810M-28,5.620000000000001
8810M-4,5.527038626609443
8810M-48,5.798639455782314
8810M-6,5.780645161290323
8810M-7,5.760264900662252
8815 ANGEL,6.633333333333333
8815 ARBOL,6.565217391304349
8815 AVION,6.609523809523811
8815 BANDERIN,6.709433962264152
8815 BIRRETE,6.74235294117647
8815 BOMBA,6.45
8815 CASA,6.423529411764706
8815 CIRCULO,6.805028058361393
8815 COPO,6.783412844036697
8815 CORAZON,6.476821192052981
8815 CORAZON CALADO,6.473846153846154
8815 CORONA,6.500458015267177
8815 ESTRELLA D,6.691870967741936
8815 ESTRELLA FUGAZ,6.482758620689656
8815 ESTRELLA G,6.751253644314869
8815 FLOR 6 ONDAS,6.576377952755905
8815 FLOR 9 ONDAS,6.20281690140845
8815 FLOR BONITA,6.522772277227723
8815 FLOR CORTADA,6.490204081632654
8815 FLOR ESTRELLA,6.587012987012987
8815 GORRO NOEL,6.729411764705883
8815 HOJA DE PARRA,6.7125
8815 LAZO,6.44647619047619
8815 MANO,6.637629629629629
8815 MARGARITA X6 PETALOS,6.587654320987655
8815 MARGARITA X8 PETALOS,6.492692307692308
8815 MARIPOSA,6.454545454545455
8815 MARIPOSA CALADA,6.62857142857143
8815 NIÑA,6.584347826086956
8815 NIÑO,6.5691566265060235
8815 OSO,6.544329896907216
8815 OVAL CON BORDE,6.666666666666668
8815 PAJARO,6.433333333333334
8815 PALMERA,6.452173913043478
8815 PALOMA,6.640000000000001
8815 PENSAMIENTO,6.613333333333334
8815 PERGAMINO,6.573913043478261
8815 RAMA FLACA,6.603076923076924
8815 RAMITA,6.616216216216216
8815 SET X3 PERFORADORES,20.8
8815 TAG X1,6.3133333333333335
8815 TOPPER,6.656235294117647
8815 TULIPAN,6.568983957219252
8815M-1,6.50909090909091
8815M-5,6.9391304347826095
8815M-6,7.022222222222223
8820 2 HOJAS,9.904545454545456
8820 ANCLA,9.977777777777778
8820 ARBOL,10.074336283185842
8820 ARETES,12.514835164835166
8820 BAILARINA,9.946666666666667
8820 BANDERIN,9.891891891891893
8820 BUHO,9.600000000000001
8820 CIRCULO 4CM,10.172511848341232
8820 CIRCULO 5CM,9.710935441370225
8820 COCHE,9.72
8820 COPO,9.934452926208653
8820 CORAZON,9.809702127659575
8820 CORAZON C/B,9.565714285714286
8820 CORONA,9.88328502415459
8820 CUADRADO CON BORDE,9.808695652173913
8820 CUPCAKE,9.82857142857143
8820 ESTRELLA D,9.908021390374332
8820 ESTRELLA G,9.911504424778762
8820 FLOR 6 ONDAS,9.927868852459017
8820 FLOR 9 ONDAS,9.755172413793105
8820 FLOR BONITA,9.740425531914894
8820 FLOR CALADA,9.942857142857143
8820 FLOR CORTADA,9.815541401273885
