date,sku,unit_price
2023-01-01,110-239 CORONA,11.0
2023-02-01,110-239 CORONA,11.0
2023-03-01,110-239 CORONA,11.0
2023-04-01,110-239 CORONA,11.0
2023-05-01,110-239 CORONA,11.0
2023-06-01,110-239 CORONA,11.0
2023-07-01,110-239 CORONA,11.0
2023-08-01,110-239 CORONA,11.0
2023-09-01,110-239 CORONA,11.0
2023-10-01,110-239 CORONA,11.0
2023-11-01,110-239 CORONA,11.0
2023-12-01,110-239 CORONA,11.0
2024-01-01,110-239 CORONA,11.0
2024-02-01,110-239 CORONA,11.0
2024-03-01,110-239 CORONA,11.0
2024-04-01,110-239 CORONA,11.0
2024-05-01,110-239 CORONA,11.0
2024-06-01,110-239 CORONA,11.0
2024-07-01,110-239 CORONA,11.0
2024-08-01,110-239 CORONA,11.0
2024-09-01,110-239 CORONA,11.0
2024-10-01,110-239 CORONA,11.0
2024-11-01,110-239 CORONA,11.0
2024-12-01,110-239 CORONA,11.0
2025-01-01,110-239 CORONA,11.0
2023-01-01,115-004 GLOBO,17.776923076923076
2023-02-01,115-004 GLOBO,17.776923076923076
2023-03-01,115-004 GLOBO,17.776923076923076
2023-04-01,115-004 GLOBO,17.776923076923076
2023-05-01,115-004 GLOBO,17.776923076923076
2023-06-01,115-004 GLOBO,17.776923076923076
2023-07-01,115-004 GLOBO,17.776923076923076
2023-08-01,115-004 GLOBO,17.776923076923076
2023-09-01,115-004 GLOBO,17.776923076923076
2023-10-01,115-004 GLOBO,17.776923076923076
2023-11-01,115-004 GLOBO,17.776923076923076
2023-12-01,115-004 GLOBO,17.776923076923076
2024-01-01,115-004 GLOBO,17.776923076923076
2024-02-01,115-004 GLOBO,17.776923076923076
2024-03-01,115-004 GLOBO,17.776923076923076
2024-04-01,115-004 GLOBO,17.776923076923076
2024-05-01,115-004 GLOBO,17.776923076923076
2024-06-01,115-004 GLOBO,17.776923076923076
2024-07-01,115-004 GLOBO,17.776923076923076
2024-08-01,115-004 GLOBO,17.776923076923076
2024-09-01,115-004 GLOBO,17.776923076923076
2024-10-01,115-004 GLOBO,17.776923076923076
2024-11-01,115-004 GLOBO,17.776923076923076
2024-12-01,115-004 GLOBO,17.776923076923076
2025-01-01,115-004 GLOBO,17.776923076923076
2023-01-01,115-051 LIBELULA,18.0
2023-02-01,115-051 LIBELULA,18.0
2023-03-01,115-051 LIBELULA,18.0
2023-04-01,115-051 LIBELULA,18.0
2023-05-01,115-051 LIBELULA,18.0
2023-06-01,115-051 LIBELULA,18.0
2023-07-01,115-051 LIBELULA,18.0
2023-08-01,115-051 LIBELULA,18.0
2023-09-01,115-051 LIBELULA,18.0
2023-10-01,115-051 LIBELULA,18.0
2023-11-01,115-051 LIBELULA,18.0
2023-12-01,115-051 LIBELULA,18.0
2024-01-01,115-051 LIBELULA,18.0
2024-02-01,115-051 LIBELULA,18.0
2024-03-01,115-051 LIBELULA,18.0
2024-04-01,115-051 LIBELULA,18.0
2024-05-01,115-051 LIBELULA,18.0
2024-06-01,115-051 LIBELULA,18.0
2024-07-01,115-051 LIBELULA,18.0
2024-08-01,115-051 LIBELULA,18.0
2024-09-01,115-051 LIBELULA,18.0
2024-10-01,115-051 LIBELULA,18.0
2024-11-01,115-051 LIBELULA,18.0
2024-12-01,115-051 LIBELULA,18.0
2025-01-01,115-051 LIBELULA,18.0
2023-01-01,115-106 MUERDAGO,17.5
2023-02-01,115-106 MUERDAGO,17.5
2023-03-01,115-106 MUERDAGO,17.5
2023-04-01,115-106 MUERDAGO,17.5
2023-05-01,115-106 MUERDAGO,17.5
2023-06-01,115-106 MUERDAGO,17.5
2023-07-01,115-106 MUERDAGO,17.5
2023-08-01,115-106 MUERDAGO,17.5
2023-09-01,115-106 MUERDAGO,17.5
2023-10-01,115-106 MUERDAGO,17.5
2023-11-01,115-106 MUERDAGO,17.5
2023-12-01,115-106 MUERDAGO,17.5
2024-01-01,115-106 MUERDAGO,17.5
2024-02-01,115-106 MUERDAGO,17.5
2024-03-01,115-106 MUERDAGO,17.5
2024-04-01,115-106 MUERDAGO,17.5
2024-05-01,115-106 MUERDAGO,17.5
2024-06-01,115-106 MUERDAGO,17.5
2024-07-01,115-106 MUERDAGO,17.5
2024-08-01,115-106 MUERDAGO,17.5
2024-09-01,115-106 MUERDAGO,17.5
2024-10-01,115-106 MUERDAGO,17.5
2024-11-01,115-106 MUERDAGO,17.5
2024-12-01,115-106 MUERDAGO,17.5
2025-01-01,115-106 MUERDAGO,17.5
2023-01-01,115-119 CRUZ,17.206666666666667
2023-02-01,115-119 CRUZ,17.206666666666667
2023-03-01,115-119 CRUZ,17.206666666666667
2023-04-01,115-119 CRUZ,17.206666666666667
2023-05-01,115-119 CRUZ,17.206666666666667
2023-06-01,115-119 CRUZ,17.206666666666667
2023-07-01,115-119 CRUZ,17.206666666666667
2023-08-01,115-119 CRUZ,17.206666666666667
2023-09-01,115-119 CRUZ,17.206666666666667
2023-10-01,115-119 CRUZ,17.206666666666667
2023-11-01,115-119 CRUZ,17.206666666666667
2023-12-01,115-119 CRUZ,17.206666666666667
2024-01-01,115-119 CRUZ,17.206666666666667
2024-02-01,115-119 CRUZ,17.206666666666667
2024-03-01,115-119 CRUZ,17.206666666666667
2024-04-01,115-119 CRUZ,17.206666666666667
2024-05-01,115-119 CRUZ,17.206666666666667
2024-06-01,115-119 CRUZ,17.206666666666667
2024-07-01,115-119 CRUZ,17.206666666666667
2024-08-01,115-119 CRUZ,17.206666666666667
2024-09-01,115-119 CRUZ,17.206666666666667
2024-10-01,115-119 CRUZ,17.206666666666667
2024-11-01,115-119 CRUZ,17.206666666666667
2024-12-01,115-119 CRUZ,17.206666666666667
2025-01-01,115-119 CRUZ,17.206666666666667
2023-01-01,115-150 LAZO,17.866666666666667
2023-02-01,115-150 LAZO,17.866666666666667
