date,sku,qty
2023-01-01,110-239 CORONA,0
2023-02-01,110-239 CORONA,0
2023-03-01,110-239 CORONA,0
2023-04-01,110-239 CORONA,0
2023-05-01,110-239 CORONA,0
2023-06-01,110-239 CORONA,0
2023-07-01,110-239 CORONA,0
2023-08-01,110-239 CORONA,0
2023-09-01,110-239 CORONA,0
2023-10-01,110-239 CORONA,0
2023-11-01,110-239 CORONA,0
2023-12-01,110-239 CORONA,1
2024-01-01,110-239 CORONA,0
2024-02-01,110-239 CORONA,1
2024-03-01,110-239 CORONA,3
2024-04-01,110-239 CORONA,1
2024-05-01,110-239 CORONA,5
2024-06-01,110-239 CORONA,1
2024-07-01,110-239 CORONA,2
2024-08-01,110-239 CORONA,0
2024-09-01,110-239 CORONA,1
2024-10-01,110-239 CORONA,0
2024-11-01,110-239 CORONA,0
2024-12-01,110-239 CORONA,0
2025-01-01,110-239 CORONA,0
2023-01-01,115-004 GLOBO,0
2023-02-01,115-004 GLOBO,0
2023-03-01,115-004 GLOBO,0
2023-04-01,115-004 GLOBO,0
2023-05-01,115-004 GLOBO,0
2023-06-01,115-004 GLOBO,0
2023-07-01,115-004 GLOBO,0
2023-08-01,115-004 GLOBO,0
2023-09-01,115-004 GLOBO,0
2023-10-01,115-004 GLOBO,0
2023-11-01,115-004 GLOBO,2
2023-12-01,115-004 GLOBO,2
2024-01-01,115-004 GLOBO,1
2024-02-01,115-004 GLOBO,5
2024-03-01,115-004 GLOBO,3
2024-04-01,115-004 GLOBO,2
2024-05-01,115-004 GLOBO,3
2024-06-01,115-004 GLOBO,1
2024-07-01,115-004 GLOBO,1
2024-08-01,115-004 GLOBO,1
2024-09-01,115-004 GLOBO,1
2024-10-01,115-004 GLOBO,3
2024-11-01,115-004 GLOBO,1
2024-12-01,115-004 GLOBO,0
2025-01-01,115-004 GLOBO,0
2023-01-01,115-051 LIBELULA,0
2023-02-01,115-051 LIBELULA,0
2023-03-01,115-051 LIBELULA,0
2023-04-01,115-051 LIBELULA,0
2023-05-01,115-051 LIBELULA,0
2023-06-01,115-051 LIBELULA,0
2023-07-01,115-051 LIBELULA,0
2023-08-01,115-051 LIBELULA,0
2023-09-01,115-051 LIBELULA,0
2023-10-01,115-051 LIBELULA,0
2023-11-01,115-051 LIBELULA,0
2023-12-01,115-051 LIBELULA,0
2024-01-01,115-051 LIBELULA,0
2024-02-01,115-051 LIBELULA,0
2024-03-01,115-051 LIBELULA,0
2024-04-01,115-051 LIBELULA,0
2024-05-01,115-051 LIBELULA,0
2024-06-01,115-051 LIBELULA,0
2024-07-01,115-051 LIBELULA,1
2024-08-01,115-051 LIBELULA,0
2024-09-01,115-051 LIBELULA,1
2024-10-01,115-051 LIBELULA,0
2024-11-01,115-051 LIBELULA,0
2024-12-01,115-051 LIBELULA,0
2025-01-01,115-051 LIBELULA,0
2023-01-01,115-106 MUERDAGO,0
2023-02-01,115-106 MUERDAGO,0
2023-03-01,115-106 MUERDAGO,0
2023-04-01,115-106 MUERDAGO,0
2023-05-01,115-106 MUERDAGO,0
2023-06-01,115-106 MUERDAGO,0
2023-07-01,115-106 MUERDAGO,0
2023-08-01,115-106 MUERDAGO,0
2023-09-01,115-106 MUERDAGO,0
2023-10-01,115-106 MUERDAGO,0
2023-11-01,115-106 MUERDAGO,9
2023-12-01,115-106 MUERDAGO,2
2024-01-01,115-106 MUERDAGO,0
2024-02-01,115-106 MUERDAGO,0
2024-03-01,115-106 MUERDAGO,0
2024-04-01,115-106 MUERDAGO,2
2024-05-01,115-106 MUERDAGO,1
2024-06-01,115-106 MUERDAGO,0
2024-07-01,115-106 MUERDAGO,0
2024-08-01,115-106 MUERDAGO,0
2024-09-01,115-106 MUERDAGO,0
2024-10-01,115-106 MUERDAGO,2
2024-11-01,115-106 MUERDAGO,0
2024-12-01,115-106 MUERDAGO,0
2025-01-01,115-106 MUERDAGO,0
2023-01-01,115-119 CRUZ,0
2023-02-01,115-119 CRUZ,0
2023-03-01,115-119 CRUZ,0
2023-04-01,115-119 CRUZ,0
2023-05-01,115-119 CRUZ,0
2023-06-01,115-119 CRUZ,0
2023-07-01,115-119 CRUZ,0
2023-08-01,115-119 CRUZ,0
2023-09-01,115-119 CRUZ,0
2023-10-01,115-119 CRUZ,0
2023-11-01,115-119 CRUZ,4
2023-12-01,115-119 CRUZ,0
2024-01-01,115-119 CRUZ,0
2024-02-01,115-119 CRUZ,0
2024-03-01,115-119 CRUZ,1
2024-04-01,115-119 CRUZ,2
2024-05-01,115-119 CRUZ,4
2024-06-01,115-119 CRUZ,0
2024-07-01,115-119 CRUZ,2
2024-08-01,115-119 CRUZ,9
2024-09-01,115-119 CRUZ,2
2024-10-01,115-119 CRUZ,5
2024-11-01,115-119 CRUZ,1
2024-12-01,115-119 CRUZ,0
2025-01-01,115-119 CRUZ,0
2023-01-01,115-150 LAZO,0
2023-02-01,115-150 LAZO,0
2023-03-01,115-150 LAZO,0
2023-04-01,115-150 LAZO,0
2023-05-01,115-150 LAZO,0
2023-06-01,115-150 LAZO,0
2023-07-01,115-150 LAZO,0
2023-08-01,115-150 LAZO,0
2023-09-01,115-150 LAZO,0
2023-10-01,115-150 LAZO,0
2023-11-01,115-150 LAZO,1
2023-12-01,115-150 LAZO,1
2024-01-01,115-150 LAZO,4
2024-02-01,115-150 LAZO,5
2024-03-01,115-150 LAZO,4
2024-04-01,115-150 LAZO,4
2024-05-01,115-150 LAZO,5
2024-06-01,115-150 LAZO,1
2024-07-01,115-150 LAZO,1
2024-08-01,115-150 LAZO,0
2024-09-01,115-150 LAZO,0
2024-10-01,115-150 LAZO,1
2024-11-01,115-150 LAZO,0
2024-12-01,115-150 LAZO,3
2025-01-01,115-150 LAZO,0
2023-01-01,115-155 CARRO,0
2023-02-01,115-155 CARRO,0
2023-03-01,115-155 CARRO,0
2023-04-01,115-155 CARRO,0
2023-05-01,115-155 CARRO,0
2023-06-01,115-155 CARRO,0
2023-07-01,115-155 CARRO,0
2023-08-01,115-155 CARRO,0
2023-09-01,115-155 CARRO,0
2023-10-01,115-155 CARRO,0
2023-11-01,115-155 CARRO,0
2023-12-01,115-155 CARRO,0
2024-01-01,115-155 CARRO,0
2024-02-01,115-155 CARRO,1
2024-03-01,115-155 CARRO,0
2024-04-01,115-155 CARRO,0
2024-05-01,115-155 CARRO,1
2024-06-01,115-155 CARRO,0
2024-07-01,115-155 CARRO,1
2024-08-01,115-155 CARRO,0
2024-09-01,115-155 CARRO,3
2024-10-01,115-155 CARRO,0
2024-11-01,115-155 CARRO,0
2024-12-01,115-155 CARRO,0
2025-01-01,115-155 CARRO,0
2023-01-01,115-174 ANGEL,0
2023-02-01,115-174 ANGEL,0
2023-03-01,115-174 ANGEL,0
2023-04-01,115-174 ANGEL,0
2023-05-01,115-174 ANGEL,0
2023-06-01,115-174 ANGEL,0
2023-07-01,115-174 ANGEL,0
2023-08-01,115-174 ANGEL,0
2023-09-01,115-174 ANGEL,0
2023-10-01,115-174 ANGEL,0
2023-11-01,115-174 ANGEL,5
2023-12-01,115-174 ANGEL,2
2024-01-01,115-174 ANGEL,1
2024-02-01,115-174 ANGEL,0
2024-03-01,115-174 ANGEL,1
2024-04-01,115-174 ANGEL,2
2024-05-01,115-174 ANGEL,0
2024-06-01,115-174 ANGEL,0
2024-07-01,115-174 ANGEL,2
2024-08-01,115-174 ANGEL,0
2024-09-01,115-174 ANGEL,3
2024-10-01,115-174 ANGEL,1
2024-11-01,115-174 ANGEL,1
2024-12-01,115-174 ANGEL,0
2025-01-01,115-174 ANGEL,0
2023-01-01,115-182 ARBOL,0
2023-02-01,115-182 ARBOL,0
2023-03-01,115-182 ARBOL,0
2023-04-01,115-182 ARBOL,0
2023-05-01,115-182 ARBOL,0
2023-06-01,115-182 ARBOL,0
2023-07-01,115-182 ARBOL,0
2023-08-01,115-182 ARBOL,0
2023-09-01,115-182 ARBOL,0
2023-10-01,115-182 ARBOL,0
2023-11-01,115-182 ARBOL,4
2023-12-01,115-182 ARBOL,3
2024-01-01,115-182 ARBOL,0
